url,village,districts,province,provincial_capital,lng,lat
http://www.iecity.com/xian/map/Detail66487070708280855576.html,南村地图,雁塔区,陕西省,西安,108.920335,34.217123
http://www.iecity.com/xian/map/Detail66484849684949695487.html,江南村地图,长安区,陕西省,西安,108.808087,34.07435
http://www.iecity.com/xian/map/Detail66484849684856525453.html,中南村地图,鄠邑区,陕西省,西安,108.583293,34.15637
http://www.iecity.com/xian/map/Detail66484849684949896576.html,凿齿南村地图,鄠邑区,陕西省,西安,108.65802,34.176672
http://www.iecity.com/xian/map/Detail66487070706573806551.html,降南村地图,长安区,陕西省,西安,108.777274,34.018123
http://www.iecity.com/xian/map/Detail66487254896654688784.html,佘家湾村地图,蓝田县,陕西省,西安,109.252655,34.065916
http://www.iecity.com/xian/map/Detail66484849684856536753.html,郭南村地图,长安区,陕西省,西安,108.749334,34.054209
http://www.iecity.com/xian/map/Detail66484849684856518648.html,张家吊庄地图,周至县,陕西省,西安,108.095556,34.126403
http://www.iecity.com/xian/map/Detail66487070706869577577.html,青羊寨村地图,鄠邑区,陕西省,西安,108.619908,34.12016
http://www.iecity.com/xian/map/Detail66484849684949895267.html,南堡村地图,长安区,陕西省,西安,108.970397,34.058778
http://www.iecity.com/xian/map/Detail66484849684856525689.html,显落村地图,鄠邑区,陕西省,西安,108.67776,34.163954
http://www.iecity.com/xian/map/Detail66484849684856527389.html,南桑村地图,长安区,陕西省,西安,109.161793,34.146805
http://www.iecity.com/xian/map/Detail66484849684856535589.html,余家村地图,周至县,陕西省,西安,108.455028,34.070097
http://www.iecity.com/xian/map/Detail66484849684856497279.html,兴南村地图,灞桥区,陕西省,西安,109.040055,34.422478
http://www.iecity.com/xian/map/Detail66484849684856495148.html,任冯地图,阎良区,陕西省,西安,109.32892,34.627806
http://www.iecity.com/xian/map/Detail66484849684856488887.html,北十字地图,阎良区,陕西省,西安,109.168406,34.664336
http://www.iecity.com/xian/map/Detail66484849684886798354.html,赵家庄村地图,灞桥区,陕西省,西安,109.062636,34.186218
http://www.iecity.com/xian/map/Detail66484849684856546987.html,上建地图,长安区,陕西省,西安,109.074837,33.981431
http://www.iecity.com/xian/map/Detail66484849684857699057.html,胡家村地图,临潼区,陕西省,西安,109.290502,34.484457
http://www.iecity.com/xian/map/Detail66484849684856525754.html,牙道地图,鄠邑区,陕西省,西安,108.65276,34.163442
http://www.iecity.com/xian/map/Detail66484849684856546849.html,佘家湾村地图,长安区,陕西省,西安,108.889032,33.969219
http://www.iecity.com/xian/map/Detail66484849684856488488.html,王家地图,临潼区,陕西省,西安,109.404801,34.454146
http://www.iecity.com/xian/map/Detail66484849684949688867.html,岳沟村地图,临潼区,陕西省,西安,109.151239,34.349447
http://www.iecity.com/xian/map/Detail66484849684857698575.html,大板岔地图,长安区,陕西省,西安,108.952603,33.920835
http://www.iecity.com/xian/map/Detail66484849684856545080.html,民生村地图,周至县,陕西省,西安,108.401758,33.99597
http://www.iecity.com/xian/map/Detail66484849684856524979.html,沙云屯村地图,周至县,陕西省,西安,108.414558,34.120285
http://www.iecity.com/xian/map/Detail66484849684857705376.html,永丰村地图,周至县,陕西省,西安,108.456296,34.059264
http://www.iecity.com/xian/map/Detail66484849684856524966.html,联新村地图,周至县,陕西省,西安,108.445017,34.118755
http://www.iecity.com/xian/map/Detail66484849684856524867.html,安家寨村地图,周至县,陕西省,西安,108.419609,34.090019
http://www.iecity.com/xian/map/Detail66484849684856535381.html,耿西村地图,周至县,陕西省,西安,108.420125,34.070774
http://www.iecity.com/xian/map/Detail66484849684856498265.html,仓门村地图,灞桥区,陕西省,西安,109.057104,34.382702
http://www.iecity.com/xian/map/Detail66484849684856506849.html,西渠村地图,灞桥区,陕西省,西安,109.090288,34.30613
http://www.iecity.com/xian/map/Detail66487070706573697679.html,西王村地图,灞桥区,陕西省,西安,109.029037,34.394256
http://www.iecity.com/xian/map/Detail66487070706869667887.html,田王村地图,灞桥区,陕西省,西安,109.110382,34.29207
http://www.iecity.com/xian/map/Detail66484849684856508356.html,东阳化村地图,周至县,陕西省,西安,108.130495,34.172404
http://www.iecity.com/xian/map/Detail66487271857869695254.html,樊家十字地图,长安区,陕西省,西安,108.944925,34.152932
http://www.iecity.com/xian/map/Detail66484849684856497181.html,坡底地图,高陵区,陕西省,西安,109.080267,34.493723
http://www.iecity.com/xian/map/Detail66487251848574897867.html,渭河地图,未央区,陕西省,西安,108.858365,34.386333
http://www.iecity.com/xian/map/Detail66484849684856546573.html,观坪寺村地图,长安区,陕西省,西安,108.846099,33.9407
http://www.iecity.com/xian/map/Detail66487070765269818751.html,老张家地图,新城区,陕西省,西安,108.969784,34.264707
http://www.iecity.com/xian/map/Detail66484849684856495486.html,坡底任地图,高陵区,陕西省,西安,109.010516,34.508039
http://www.iecity.com/xian/map/Detail66484849684856524976.html,起良村地图,周至县,陕西省,西安,108.452989,34.113574
http://www.iecity.com/xian/map/Detail66487070704849774853.html,火车站社区地图,临潼区,陕西省,西安,109.212659,34.387722
